"SBiX#","Structure","NCATS ID","Scaffold","Ki_S100B","Column1","Ki_SE_S100B","Ki_S100A1","Column2","Ki_SE_S100A1","Specificity (Ki_S100B/Ki_S100A1)","SAR Class A","Xray - Crystal","Xray - Picture of Crystals","Xray - Data Collected","Xray - Structure completed","Xray - Resolution","Xray - R-factor (%)","Xray - R-Free (%)","Xray - PDB FILE","NMR - HSQC completed (YES or NO)","NMR - Quality of HSQC spectra with compound (Low, Medium, High)","logP(o/w)","Weight","N_heavy","4DBA","Comments"
5221,,"NCGC00371453-01","1/2 Site binder",5.776,"±",,37.189,"±",,6.4,"A","NO","NO","NO","NO",,,,"No",,,3.3,396.6,29.0,-2.6,
5222,,"NCGC00371467-01","1/2 Site binder",9.128,"±",,27.046,"±",,3.0,"A","NO","NO","NO","NO",,,,"No",,,5.6,513.5,35.0,-3.2,
5223,,"NCGC00371452-01","1/2 Site binder",50.000,">",,"NOT ACTIVE","±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,7.0,505.5,35.0,-3.4,
5224,,"NCGC00371360-01","1/2 Site binder","NOT ACTIVE","±",,"NOT ACTIVE","±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,3.6,331.4,25.0,-2.7,
5225,,"NCGC00356680-01","1/2 Site binder",50.000,">",,"NOT ACTIVE","±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,2.8,338.5,25.0,-2.5,
5226,,"NCGC00356810-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,5.2,493.1,35.0,-3.2,
5227,,"NCGC00356807-01","1/2 Site binder",10.675,"±",,29.978,"±",,2.8,"A","NO","NO","NO","NO",,,,"No",,,5.8,508.7,38.0,-3.3,
5228,,"NCGC00356809-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,4.6,458.6,34.0,-3.0,
5229,,"NCGC00356783-01","1/2 Site binder",14.724,"±",,8.631,"±",,0.6,"A","NO","NO","NO","NO",,,,"No",,,5.2,540.5,37.0,-3.7,
5230,,"NCGC00356786-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,5.2,493.1,35.0,-3.2,
5231,,"NCGC00356805-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,4.6,488.7,36.0,-3.4,
5232,,"NCGC00357351-01","1/2 Site binder",18.731,"±",,86.564,"±",,4.6,"A","NO","NO","NO","NO",,,,"No",,,4.8,436.4,29.0,-2.8,
5233,,"NCGC00357380-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,3.6,437.4,29.0,-3.0,
5237,,"NCGC00371222-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,4.7,476.6,35.0,-3.1,
5238,,"NCGC00371229-01","1/2 Site binder",17.469,"±",,67.865,"±",,3.9,"A","NO","NO","NO","NO",,,,"No",,,6.1,511.5,35.0,-3.4,
5239,,"NCGC00371230-01","1/2 Site binder",5.044,"±",,11.150,"±",,2.2,"A","NO","NO","NO","NO",,,,"No",,,6.0,497.5,34.0,-3.2,
5240,,"NCGC00371368-01","1/2 Site binder",3.451,"±",,13.782,"±",,4.0,"A","NO","NO","NO","NO",,,,"No",,,5.8,527.5,36.0,-3.4,
5287,,"NCGC00356806-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,4.3,488.7,36.0,-3.4,
5288,,"NCGC00356780-01","1/2 Site binder","NOT ACTIVE","±",,"NOT ACTIVE","±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,2.8,346.3,22.0,-2.6,
5291,,"NCGC00357379-01","1/2 Site binder",15.973,"±",,41.188,"±",,2.6,"A","NO","NO","NO","NO",,,,"No",,,5.5,513.5,35.0,-3.3,
5292,,"NCGC00371465-01","1/2 Site binder",50.000,">",,44.598,"±",,0.9,"A","NO","NO","NO","NO",,,,"No",,,1.9,296.4,22.0,-2.5,
5309,,"NCGC00373144-02","1/2 Site binder",1.554,"±",,5.534,"±",,3.6,"A","NO","NO","NO","NO",,,,"No",,,4.7,514.5,35.0,-3.4,
5310,,"NCGC0378364-01","1/2 Site binder",29.101,"±",,100.000,">",,3.4,"A","YES (MC)","?","YES (MC)","NO",,,,"No",,,5.0,562.1,40.0,-3.7,"Needs optimization"
5311,,"NCGC00378365-01","1/2 Site binder",3.657,"±",,10.352,"±",,2.8,"A","YES (MC)","?","YES (MC)","YES (MC)",1.77,23.19,24.82,"No",,,5.4,543.5,37.0,-3.7,
5312,,"NCGC00378377-01","1/2 Site binder",3.349,"±",,9.503,"±",,2.8,"A","NO","NO","NO","NO",,,,"No",,,6.1,527.5,36.0,-3.3,
